ensembl_id,symbol,gene_name,ot_score,disease
ENSG00000105397,TYK2,tyrosine kinase 2,0.7518,rheumatoid_arthritis
ENSG00000113302,IL12B,interleukin 12B,0.7328,rheumatoid_arthritis
ENSG00000160712,IL6R,interleukin 6 receptor,0.7325,rheumatoid_arthritis
ENSG00000232810,TNF,tumor necrosis factor,0.7166,rheumatoid_arthritis
ENSG00000056972,TRAF3IP2,TRAF3 interacting protein 2,0.7139,rheumatoid_arthritis
ENSG00000240972,MIF,macrophage migration inhibitory factor,0.6977,rheumatoid_arthritis
ENSG00000096968,JAK2,Janus kinase 2,0.6934,rheumatoid_arthritis
ENSG00000162434,JAK1,Janus kinase 1,0.6904,rheumatoid_arthritis
ENSG00000159339,PADI4,peptidyl arginine deiminase 4,0.6893,rheumatoid_arthritis
ENSG00000134242,PTPN22,protein tyrosine phosphatase non-receptor type 22,0.6799,rheumatoid_arthritis
ENSG00000128604,IRF5,interferon regulatory factor 5,0.6359,rheumatoid_arthritis
ENSG00000073756,PTGS2,prostaglandin-endoperoxide synthase 2,0.6337,rheumatoid_arthritis
ENSG00000110944,IL23A,interleukin 23 subunit alpha,0.63,rheumatoid_arthritis
ENSG00000112115,IL17A,interleukin 17A,0.6281,rheumatoid_arthritis
ENSG00000113580,NR3C1,nuclear receptor subfamily 3 group C member 1,0.6265,rheumatoid_arthritis
ENSG00000156738,MS4A1,membrane spanning 4-domains A1,0.6251,rheumatoid_arthritis
ENSG00000196664,TLR7,toll like receptor 7,0.6245,rheumatoid_arthritis
ENSG00000160856,FCRL3,Fc receptor like 3,0.6218,rheumatoid_arthritis
ENSG00000239732,TLR9,toll like receptor 9,0.6214,rheumatoid_arthritis
ENSG00000121594,CD80,CD80 molecule,0.6191,rheumatoid_arthritis
ENSG00000105639,JAK3,Janus kinase 3,0.6183,rheumatoid_arthritis
ENSG00000114013,CD86,CD86 molecule,0.6162,rheumatoid_arthritis
ENSG00000138378,STAT4,signal transducer and activator of transcription 4,0.6161,rheumatoid_arthritis
ENSG00000228716,DHFR,dihydrofolate reductase,0.6158,rheumatoid_arthritis
ENSG00000095303,PTGS1,prostaglandin-endoperoxide synthase 1,0.6148,rheumatoid_arthritis
ENSG00000102967,DHODH,dihydroorotate dehydrogenase (quinone),0.6042,rheumatoid_arthritis
ENSG00000065989,PDE4A,phosphodiesterase 4A,0.603,rheumatoid_arthritis
ENSG00000012779,ALOX5,arachidonate 5-lipoxygenase,0.5986,rheumatoid_arthritis
ENSG00000101017,CD40,CD40 molecule,0.5963,rheumatoid_arthritis
ENSG00000168811,IL12A,interleukin 12A,0.5958,rheumatoid_arthritis
ENSG00000128059,PPAT,phosphoribosyl pyrophosphate amidotransferase,0.5883,rheumatoid_arthritis
ENSG00000184588,PDE4B,phosphodiesterase 4B,0.5859,rheumatoid_arthritis
ENSG00000113448,PDE4D,phosphodiesterase 4D,0.5847,rheumatoid_arthritis
ENSG00000115594,IL1R1,interleukin 1 receptor type 1,0.5845,rheumatoid_arthritis
ENSG00000105650,PDE4C,phosphodiesterase 4C,0.5813,rheumatoid_arthritis
ENSG00000105675,ATP4A,ATPase H+/K+ transporting subunit alpha,0.5713,rheumatoid_arthritis
ENSG00000186009,ATP4B,ATPase H+/K+ transporting subunit beta,0.566,rheumatoid_arthritis
ENSG00000134460,IL2RA,interleukin 2 receptor subunit alpha,0.565,rheumatoid_arthritis
ENSG00000160185,UBASH3A,ubiquitin associated and SH3 domain containing A,0.5621,rheumatoid_arthritis
ENSG00000163599,CTLA4,cytotoxic T-lymphocyte associated protein 4,0.5612,rheumatoid_arthritis
ENSG00000118503,TNFAIP3,TNF alpha induced protein 3,0.5559,rheumatoid_arthritis
ENSG00000162594,IL23R,interleukin 23 receptor,0.553,rheumatoid_arthritis
