protein_a,protein_b,score
TNFRSF1A,LTA,0.999
TNFRSF1A,BIRC2,0.999
TNFRSF1A,TRAF5,0.999
TNFRSF1A,CYLD,0.999
TNFRSF1A,TRADD,0.999
TNFRSF1A,IKBKB,0.999
TNFRSF1A,TNF,0.999
TNFRSF1A,CHUK,0.999
TNFRSF1A,RIPK1,0.999
TNFRSF1A,TRAF2,0.999
TNFRSF1A,BIRC3,0.999
TNFRSF1A,TNFRSF1B,0.999
TNFRSF1A,IKBKG,0.999
TNFRSF1A,FAS,0.999
TNFRSF1A,MAP3K7,0.999
TNFRSF1A,FADD,0.999
TNFRSF1A,CASP8,0.998
TNFRSF1A,TAB2,0.998
TNFRSF1A,FASLG,0.998
TNFRSF1A,SHARPIN,0.998
TNFRSF1A,RBCK1,0.998
TNFRSF1A,TBK1,0.998
TNFRSF1A,TNFAIP3,0.998
TNFRSF1A,IKBKE,0.998
TNFRSF1A,RNF31,0.998
MIF,CD74,0.999
MIF,CXCR2,0.993
MIF,CXCR4,0.991
MIF,COPS5,0.976
MIF,GOT2,0.929
MIF,GOT1,0.915
MIF,TAT,0.91
MIF,HPD,0.909
MIF,GOT1L1,0.907
MIF,IL4I1,0.902
MIF,CD44,0.863
MIF,CCL2,0.836
MIF,STAT4,0.78
MIF,KRT7,0.76
MIF,CCL5,0.756
MIF,SOD1,0.744
MIF,CXCL12,0.737
MIF,NME1,0.732
MIF,TP53,0.731
MIF,ACKR3,0.718
MIF,PARK7,0.718
MIF,IL6,0.708
DHODH,UMPS,0.999
DHODH,CAD,0.994
DHODH,GMPS,0.94
DHODH,CYB5R4,0.935
DHODH,CYB5RL,0.928
DHODH,CYB5R1,0.923
DHODH,CYB5R2,0.918
DHODH,CYB5R3,0.912
DHODH,DHFR2,0.91
DHODH,DHFR,0.888
DHODH,OXNAD1,0.869
DHODH,TYMP,0.864
DHODH,CPS1,0.86
DHODH,GOLT1B,0.855
DHODH,KISS1,0.855
DHODH,GOLT1A,0.855
DHODH,TMEM116,0.834
DHODH,GPR143,0.828
DHODH,NT5E,0.821
DHODH,DPYS,0.805
DHODH,FDXR,0.803
DHODH,UPP1,0.797
