rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1,TNF,25,1.0,1.0,0.29471,1.0,0.85894,True
2,JAK2,22,0.875,0.81835,0.22969,0.89881,0.73727,True
3,IL1B,20,0.79167,0.73868,0.21962,0.79057,0.66098,True
4,JAK1,21,0.83333,0.73794,0.02606,0.85064,0.64932,True
5,IL6,19,0.75,0.63571,0.33006,0.78981,0.64566,True
6,PTGS2,13,0.5,0.62282,0.78879,0.53872,0.60815,True
7,TYK2,19,0.75,0.65194,0.11854,0.7749,0.603,True
8,RUNX1,15,0.58333,0.77772,0.23823,0.63788,0.59172,True
9,PTPN22,13,0.5,0.65278,0.57469,0.57961,0.58864,True
10,TP53,11,0.41667,0.57849,1.0,0.43563,0.58852,False
11,TNFRSF1A,16,0.625,0.63728,0.31662,0.67645,0.58502,True
12,RPLP1,11,0.41667,0.98605,0.09109,0.5377,0.56473,True
13,SYT1,11,0.41667,0.96136,0.08397,0.50286,0.5437,True
14,NOD2,12,0.45833,0.63738,0.48324,0.531,0.54246,True
15,TCF7,12,0.45833,0.81027,0.06591,0.60239,0.53585,True
16,ITPR3,11,0.41667,0.7283,0.41577,0.48701,0.5346,True
17,DHFR,11,0.41667,0.80576,0.32758,0.43477,0.52191,True
18,MYC,11,0.41667,0.73136,0.38223,0.46063,0.51957,True
19,SYK,13,0.5,0.70321,0.11657,0.59765,0.51846,True
20,NOS1,11,0.41667,0.73528,0.31264,0.48106,0.51398,True
21,MAGI3,10,0.375,0.78505,0.1557,0.52353,0.50614,True
22,SMAD3,13,0.5,0.77275,0.06037,0.53476,0.50606,True
23,PADI4,11,0.41667,0.58626,0.43538,0.51592,0.50603,True
24,THOC2,11,0.41667,0.78011,0.1116,0.52106,0.50122,True
25,TPH2,10,0.375,0.69456,0.43323,0.41888,0.49787,True
26,ELANE,11,0.41667,0.88343,0.04984,0.45787,0.49775,True
27,RAD51B,10,0.375,0.84356,0.22963,0.40641,0.49749,True
28,OTUD3,10,0.375,0.8458,0.19978,0.41427,0.49494,True
29,ATG5,12,0.45833,0.72213,0.16722,0.5011,0.49422,True
30,RPS10,10,0.375,0.91717,0.03097,0.43585,0.49014,True
31,FDX2,10,0.375,0.90337,0.10694,0.40089,0.48896,True
32,PLD4,10,0.375,0.96993,0.00038,0.3996,0.48717,True
33,PLCL1,10,0.375,0.96993,0.00038,0.3996,0.48717,True
34,B3GNT2,10,0.375,0.96993,0.00025,0.3996,0.48714,True
35,MMEL1,10,0.375,0.96993,0.00025,0.3996,0.48714,True
36,COG6,10,0.375,0.96993,0.00025,0.3996,0.48714,True
37,AARS2,10,0.375,0.96993,0.00013,0.3996,0.48712,True
38,PFKFB3,10,0.375,0.96993,0.00013,0.3996,0.48712,True
39,STAG1,10,0.375,0.96993,0.00013,0.3996,0.48712,True
40,FTO,10,0.375,0.96993,0.00013,0.3996,0.48712,True
41,NPAS2,10,0.375,0.96993,0.00013,0.3996,0.48712,True
42,AFF3,10,0.375,0.96993,0.00013,0.3996,0.48712,True
43,GAL,10,0.375,0.96993,0.0,0.3996,0.48709,True
44,ALDH1A1,10,0.375,0.90507,0.08795,0.39933,0.48512,True
45,REV3L,10,0.375,0.91155,0.06896,0.4029,0.48452,True
46,CD2,12,0.45833,0.71434,0.11089,0.50908,0.48341,True
47,NCF2,10,0.375,0.85562,0.14371,0.40182,0.48231,True
48,ENO4,10,0.375,0.89763,0.04997,0.41655,0.48132,True
49,ACTA2,10,0.375,0.93852,0.00092,0.40458,0.47959,True
50,ELMO1,10,0.375,0.91472,0.07237,0.38307,0.47921,True
51,DLGAP1,10,0.375,0.89148,0.06896,0.40285,0.47848,True
52,UNC5A,11,0.41667,0.69115,0.19558,0.4819,0.47763,True
53,POSTN,10,0.375,0.73126,0.28935,0.41152,0.47753,True
54,DCLRE1B,10,0.375,0.89032,0.06896,0.39566,0.47562,True
55,GUCY1A2,10,0.375,0.64288,0.20245,0.53042,0.47525,True
56,ATXN2,10,0.375,0.87957,0.04997,0.412,0.47431,True
57,JAZF1,10,0.375,0.88061,0.06896,0.39647,0.47299,True
58,PACSIN1,10,0.375,0.88116,0.04997,0.40424,0.47207,True
59,SSPN,10,0.375,0.89392,0.03085,0.40366,0.47188,True
60,ATP4A,11,0.41667,0.72082,0.09184,0.4959,0.47068,True
61,MAPK14,10,0.375,0.69495,0.2319,0.45418,0.47008,True
62,ADGRL2,11,0.41667,0.75811,0.05907,0.47856,0.46924,True
63,DPP4,10,0.375,0.73449,0.20568,0.43191,0.4689,True
64,MLN,10,0.375,0.86985,0.03097,0.41311,0.46799,True
65,RIPOR2,10,0.375,0.9091,0.00092,0.39463,0.46729,True
66,CD40,14,0.54167,0.56097,0.04739,0.59405,0.46694,True
67,RBPJ,10,0.375,0.81793,0.10663,0.41035,0.46658,True
68,DHODH,10,0.375,0.74986,0.21739,0.403,0.46574,True
69,BANK1,10,0.375,0.48357,0.56617,0.43081,0.46534,True
70,ZC3H11A,10,0.375,0.68315,0.03967,0.56041,0.46527,True
71,SLC6A4,10,0.375,0.78813,0.12105,0.41997,0.46389,True
72,TNFRSF14,12,0.45833,0.61557,0.17424,0.50063,0.46349,True
73,TNFSF11,11,0.41667,0.71283,0.13109,0.44415,0.45802,True
