rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1,TP53,52,0.85,0.95195,1.0,0.66236,0.84491,True
2,FAU,38,0.61667,0.66933,0.28551,1.0,0.7004,False
3,TNF,61,1.0,0.74003,0.17933,0.73155,0.66392,True
4,STAT3,54,0.88333,0.69502,0.37192,0.66396,0.64778,True
5,RAB7A,25,0.4,0.96994,0.10006,0.46322,0.53312,True
6,IL6,49,0.8,0.54163,0.09994,0.58063,0.5057,True
7,JAK2,43,0.7,0.54979,0.1697,0.53817,0.49224,True
8,STAG1,25,0.4,0.87452,0.13212,0.38977,0.4852,True
9,TRMT10B,24,0.38333,1.0,0.11484,0.29235,0.48279,True
10,PLK1,30,0.48333,0.6757,0.24724,0.45163,0.48273,True
11,IL10,48,0.78333,0.49716,0.05778,0.56308,0.47528,True
12,AHI1,25,0.4,0.93117,0.15535,0.29832,0.47483,True
13,MYC,33,0.53333,0.60763,0.30457,0.42281,0.47119,True
14,SMPD1,26,0.41667,0.91275,0.10623,0.32313,0.47067,True
15,KIF1A,25,0.4,0.92883,0.14765,0.27397,0.46407,True
16,IL1B,42,0.68333,0.52623,0.1107,0.50935,0.46078,True
17,XPO1,29,0.46667,0.60993,0.34004,0.38683,0.45637,True
18,HNRNPA1,26,0.41667,0.81779,0.07218,0.36625,0.45046,True
19,MAPK14,33,0.53333,0.66583,0.1151,0.41616,0.44842,True
20,PTPRC,36,0.58333,0.54121,0.17124,0.46173,0.44572,True
21,FTO,25,0.4,0.8288,0.08482,0.31754,0.43674,True
22,ALDH1A1,25,0.4,0.90168,0.0374,0.27472,0.43414,True
23,FOS,34,0.55,0.55182,0.15734,0.44006,0.43353,True
24,PRDX6,25,0.4,0.88805,0.06555,0.26503,0.43228,True
25,MED1,30,0.48333,0.75143,0.08792,0.32871,0.43056,True
26,REV3L,25,0.4,0.8878,0.03605,0.27587,0.43011,True
27,CTH,26,0.41667,0.82828,0.0705,0.29484,0.42828,True
28,IFNG,42,0.68333,0.46358,0.14578,0.44532,0.42659,False
29,CD19,36,0.58333,0.5025,0.06088,0.50234,0.42624,True
30,SMAD3,33,0.53333,0.62919,0.05401,0.41868,0.4261,True
31,TTN,25,0.4,0.8105,0.03545,0.31388,0.4201,True
32,SRC,31,0.5,0.46227,0.40998,0.35354,0.41942,False
33,LRP1,27,0.43333,0.61471,0.16974,0.38795,0.41914,True
34,RUNX1,32,0.51667,0.53757,0.05289,0.48216,0.4181,True
35,SYT1,26,0.41667,0.7304,0.04283,0.36493,0.41791,True
36,HSPA8,26,0.41667,0.67157,0.17361,0.33935,0.41746,True
37,PAPOLA,25,0.4,0.77099,0.06298,0.32224,0.41668,True
38,CD44,30,0.48333,0.5955,0.13217,0.39591,0.41616,True
39,AIRE,25,0.4,0.73195,0.07837,0.34102,0.41462,True
40,ACTA2,25,0.4,0.76409,0.0843,0.31007,0.41461,True
41,PIK3R1,35,0.56667,0.5127,0.0694,0.46143,0.41419,True
42,ATXN2,26,0.41667,0.67873,0.10804,0.35999,0.41372,True
43,INTS4,25,0.4,0.82192,0.03365,0.28652,0.41359,True
44,DNMT3A,26,0.41667,0.60503,0.05392,0.45153,0.41283,True
45,PIK3CB,33,0.53333,0.52781,0.1262,0.42634,0.4128,True
46,ACACA,26,0.41667,0.72978,0.12163,0.29893,0.41038,True
47,SLC39A11,19,0.3,0.85764,0.0323,0.28863,0.40977,True
48,F10,25,0.4,0.73081,0.07735,0.32683,0.4091,True
49,GSK3B,29,0.46667,0.61888,0.10182,0.37939,0.40882,True
50,ELANE,27,0.43333,0.66356,0.09618,0.35266,0.40674,True
51,TLR4,34,0.55,0.53701,0.05204,0.43569,0.4065,True
52,RBPJ,27,0.43333,0.62753,0.06125,0.40087,0.40581,True
53,RAD51B,25,0.4,0.71381,0.03313,0.35614,0.40542,True
54,JAK1,39,0.63333,0.43918,0.01118,0.49598,0.40258,True
55,PLXNA2,25,0.4,0.68887,0.10305,0.32945,0.40258,True
56,PI4KB,29,0.46667,0.49686,0.13138,0.44865,0.40236,True
57,CALR,27,0.43333,0.58231,0.08189,0.41789,0.40233,True
58,CDK12,25,0.4,0.55364,0.19731,0.39058,0.40226,True
59,PFKFB3,25,0.4,0.77474,0.08723,0.26297,0.40191,True
60,OTUD3,25,0.4,0.56512,0.29602,0.32018,0.4008,True
61,CHCHD6,22,0.35,0.781,0.09051,0.27384,0.40075,True
62,TERT,27,0.43333,0.61416,0.14837,0.34681,0.4003,True
63,ITGB1,29,0.46667,0.60218,0.04488,0.40018,0.39969,True
64,MTOR,27,0.43333,0.65184,0.08354,0.3488,0.39934,True
65,B4GALT2,25,0.4,0.62952,0.1505,0.34109,0.39834,True
66,SQLE,26,0.41667,0.71383,0.07268,0.30308,0.39726,True
67,PARK7,26,0.41667,0.5991,0.14888,0.35689,0.39692,True
68,KAT8,25,0.4,0.68963,0.06032,0.33501,0.39621,True
69,ADGRL2,25,0.4,0.55694,0.12941,0.40752,0.39559,True
70,NPAS2,25,0.4,0.74023,0.07163,0.28207,0.39512,True
71,KEAP1,27,0.43333,0.65363,0.09571,0.328,0.39503,True
72,SYK,32,0.51667,0.49078,0.03189,0.46769,0.3948,True
73,HSD17B12,25,0.4,0.69708,0.05344,0.32845,0.39477,True
74,DLGAP1,25,0.4,0.58283,0.09708,0.39731,0.39332,True
75,SHMT1,27,0.43333,0.70228,0.05467,0.30364,0.39289,True
76,ATXN1,26,0.41667,0.61566,0.11411,0.34846,0.39198,True
77,ENO4,25,0.4,0.75072,0.03716,0.2826,0.39156,True
78,ITPR3,29,0.46667,0.51904,0.13568,0.39547,0.39126,True
79,IKZF1,25,0.4,0.50303,0.05351,0.48345,0.39082,True
80,AFF1,26,0.41667,0.64594,0.04988,0.3544,0.3903,True
81,VPS28,26,0.41667,0.73698,0.02333,0.2913,0.39021,True
82,FAAH,25,0.4,0.71736,0.10634,0.26772,0.39018,True
83,GTF2I,25,0.4,0.62388,0.14774,0.32367,0.39,True
84,GLS,25,0.4,0.73623,0.06591,0.27411,0.38999,True
85,PPT1,20,0.31667,0.80438,0.03354,0.2689,0.38964,True
86,CDKN2A,29,0.46667,0.4882,0.12529,0.42305,0.38959,True
87,COL4A2,27,0.43333,0.6161,0.04999,0.36754,0.38847,True
88,TRAPPC5,25,0.4,0.69184,0.07796,0.29909,0.38782,True
89,PDHB,25,0.4,0.74797,0.02237,0.27728,0.38591,True
90,TGFBR2,27,0.43333,0.53925,0.09934,0.39594,0.38523,True
91,TNFRSF1A,35,0.56667,0.44785,0.03649,0.45239,0.38499,True
92,SF3B1,28,0.45,0.6041,0.03887,0.36695,0.38494,True
93,PRKN,27,0.43333,0.61348,0.08063,0.34158,0.38472,True
94,ATRIP,25,0.4,0.66922,0.09109,0.30203,0.3847,True
95,HMGCR,26,0.41667,0.68013,0.06638,0.2996,0.38467,True
96,CLTC,28,0.45,0.55505,0.0965,0.37393,0.38419,True
97,UBE2L3,25,0.4,0.6324,0.07223,0.33932,0.38293,True
98,DPP4,25,0.4,0.61587,0.10011,0.3346,0.38189,True
99,PTGS2,28,0.45,0.50647,0.22434,0.33407,0.38123,True
100,DDX39B,26,0.41667,0.61692,0.03521,0.35784,0.37986,True
101,LEF1,29,0.46667,0.5557,0.04329,0.38304,0.37943,True
102,SNX3,19,0.3,0.75848,0.02931,0.28866,0.37943,True
103,WDHD1,25,0.4,0.69878,0.05228,0.28352,0.37932,True
104,HLA-DRB1,26,0.41667,0.59566,0.04965,0.36581,0.37916,True
105,ING3,25,0.4,0.62709,0.02642,0.35375,0.37723,True
106,RMI2,25,0.4,0.65985,0.09035,0.28728,0.37657,True
107,ATP1A1,25,0.4,0.65293,0.06256,0.30827,0.37628,True
108,CD47,25,0.4,0.59159,0.07502,0.3528,0.37596,True
109,PSAP,24,0.38333,0.60889,0.15399,0.29906,0.37564,True
110,GPD2,28,0.45,0.60635,0.09596,0.30477,0.37527,True
111,LAMTOR3,25,0.4,0.6795,0.04968,0.28847,0.37475,True
112,KCNH2,28,0.45,0.43813,0.13169,0.42562,0.37424,True
113,SUPT6H,26,0.41667,0.62411,0.03278,0.33696,0.37423,True
114,NADSYN1,27,0.43333,0.59937,0.10045,0.31187,0.37406,True
115,PPIA,25,0.4,0.5443,0.21995,0.30159,0.37284,True
116,NOS1,28,0.45,0.50342,0.10289,0.37929,0.37185,True
117,AP2M1,29,0.46667,0.53344,0.04965,0.37502,0.37122,True
118,PLEC,25,0.4,0.63245,0.05288,0.31593,0.37089,True
119,KCNA1,26,0.41667,0.42488,0.08677,0.4672,0.37084,True
120,PHGDH,25,0.4,0.57657,0.20714,0.27474,0.37055,True
121,DLD,25,0.4,0.67355,0.049,0.28155,0.37041,True
122,AURKA,25,0.4,0.58311,0.09141,0.33461,0.37033,True
123,MC2R,24,0.38333,0.63759,0.03736,0.3256,0.37021,True
124,TGFBR1,26,0.41667,0.57145,0.05382,0.35833,0.37011,True
125,NOD2,28,0.45,0.45207,0.10556,0.41403,0.36915,True
126,CDK1,29,0.46667,0.53073,0.03693,0.37818,0.36897,True
127,FUT2,25,0.4,0.58134,0.0862,0.33443,0.36869,True
128,MCM10,25,0.4,0.66974,0.03732,0.28603,0.3685,True
129,DHODH,25,0.4,0.64118,0.08096,0.28403,0.36796,True
130,COG6,25,0.4,0.68618,0.0272,0.27539,0.36768,True
131,PRKCB,28,0.45,0.46996,0.15768,0.36407,0.36745,True
132,IFIH1,29,0.46667,0.50012,0.03512,0.40108,0.36744,True
133,DHFR,26,0.41667,0.63253,0.05263,0.29896,0.36742,True
134,MED13,25,0.4,0.68848,0.01299,0.28011,0.36718,True
135,TRAF3,34,0.55,0.43847,0.01259,0.42983,0.367,True
136,CSNK1A1,25,0.4,0.51218,0.19753,0.32516,0.36697,True
137,SCD,25,0.4,0.61108,0.05137,0.32383,0.36694,True
138,AARS2,25,0.4,0.66661,0.06166,0.26783,0.36606,True
139,SLC18A2,25,0.4,0.6067,0.07071,0.30972,0.36455,True
140,CD40,34,0.55,0.40611,0.03014,0.44017,0.36442,True
141,SLC6A3,25,0.4,0.57167,0.11553,0.31335,0.36428,True
142,AURKB,25,0.4,0.56694,0.03829,0.36133,0.36421,True
143,AP3B1,25,0.4,0.54492,0.10549,0.33926,0.36332,True
144,PIKFYVE,25,0.4,0.45051,0.02956,0.46262,0.36298,True
145,SNRPE,29,0.46667,0.51158,0.04891,0.37056,0.36295,True
146,NCF2,25,0.4,0.52967,0.11613,0.34471,0.36278,True
147,ATG16L1,25,0.4,0.57844,0.0981,0.31174,0.36226,True
148,TOP2A,25,0.4,0.58539,0.05751,0.32861,0.36214,True
149,TNFAIP3,30,0.48333,0.41894,0.02742,0.45165,0.36174,True
150,COG8,25,0.4,0.67014,0.02184,0.2725,0.36079,True
151,PAF1,25,0.4,0.60375,0.04517,0.31579,0.36069,True
152,AP2S1,29,0.46667,0.52521,0.01107,0.37364,0.36055,True
153,CD2,28,0.45,0.44829,0.0255,0.4374,0.36018,True
154,TARS2,25,0.4,0.67595,0.02075,0.2664,0.36017,True
155,GAL,25,0.4,0.62324,0.03393,0.30333,0.35992,True
156,GGPS1,25,0.4,0.63761,0.05712,0.27765,0.35988,True
157,TYK2,35,0.56667,0.38701,0.02432,0.43971,0.35987,True
158,GUCY1A2,25,0.4,0.58034,0.04856,0.33103,0.35967,True
159,KCNA2,26,0.41667,0.40584,0.03647,0.47778,0.35877,True
160,RSL24D1,29,0.46667,0.52727,0.02667,0.35754,0.35865,True
161,ESR1,28,0.45,0.45772,0.09548,0.3844,0.35845,True
162,WRAP53,25,0.4,0.58665,0.10324,0.29019,0.35821,True
163,CD226,25,0.4,0.51,0.09433,0.36079,0.35814,True
164,CYP24A1,23,0.36667,0.6319,0.14475,0.23999,0.35752,True
165,ENG,25,0.4,0.54347,0.1144,0.31849,0.35739,True
166,NMNAT2,26,0.41667,0.57996,0.07061,0.30356,0.35686,True
167,ERBB3,27,0.43333,0.49645,0.05867,0.37385,0.35652,True
168,KCNQ1,28,0.45,0.44564,0.05831,0.41024,0.35644,True
169,AGPAT4,26,0.41667,0.59434,0.06387,0.29309,0.35616,True
170,PPAT,25,0.4,0.60906,0.06718,0.28563,0.35612,True
171,THOC2,25,0.4,0.53021,0.09708,0.33526,0.35582,True
172,SEC13,26,0.41667,0.61037,0.02485,0.29697,0.35452,True
173,NFKB1,31,0.5,0.43062,0.03684,0.40787,0.35431,True
174,PLD4,25,0.4,0.59944,0.05643,0.29416,0.35408,True
175,CCL2,32,0.51667,0.43156,0.05185,0.39058,0.35404,True
176,ITGAM,29,0.46667,0.45576,0.09057,0.36535,0.35272,True
177,CREB3L3,25,0.4,0.60221,0.05075,0.29109,0.3527,True
178,IFNAR1,30,0.48333,0.47194,0.06188,0.3607,0.3527,True
179,ARHGEF7,25,0.4,0.57983,0.02929,0.32233,0.35262,True
180,ITGB4,26,0.41667,0.50629,0.08609,0.34357,0.35186,True
