rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1,TP53,52,0.85,0.95195,1.0,0.3636,0.74034,True
2,FAU,38,0.61667,0.66933,0.28551,1.0,0.7004,False
3,STAT3,54,0.88333,0.69502,0.37192,0.33563,0.53286,True
4,RAB7A,25,0.4,0.96994,0.10006,0.32834,0.48591,True
5,SMPD1,26,0.41667,0.91275,0.10623,0.34812,0.47941,True
6,TNF,61,1.0,0.74003,0.17933,0.19427,0.47587,False
7,AHI1,25,0.4,0.93117,0.15535,0.29542,0.47382,True
8,KIF1A,25,0.4,0.92883,0.14765,0.2936,0.47094,True
9,PLK1,30,0.48333,0.6757,0.24724,0.41032,0.46827,True
10,HNRNPA1,26,0.41667,0.81779,0.07218,0.37428,0.45327,True
11,XPO1,29,0.46667,0.60993,0.34004,0.37374,0.45179,True
12,TTN,25,0.4,0.8105,0.03545,0.31218,0.4195,True
13,PAPOLA,25,0.4,0.77099,0.06298,0.3104,0.41253,True
14,SQLE,26,0.41667,0.71383,0.07268,0.33349,0.40791,True
15,ACACA,26,0.41667,0.72978,0.12163,0.28947,0.40707,True
16,PI4KB,29,0.46667,0.49686,0.13138,0.44729,0.40188,True
17,PPT1,20,0.31667,0.80438,0.03354,0.29836,0.39995,True
18,MED1,30,0.48333,0.75143,0.08792,0.23959,0.39937,True
19,KAT8,25,0.4,0.68963,0.06032,0.32542,0.39285,True
20,HMGCR,26,0.41667,0.68013,0.06638,0.30772,0.38752,True
21,KCNA1,26,0.41667,0.42488,0.08677,0.51017,0.38588,True
22,SNX3,19,0.3,0.75848,0.02931,0.30495,0.38514,True
23,TRMT10B,24,0.38333,1.0,0.11484,0.00804,0.38328,False
24,MYC,33,0.53333,0.60763,0.30457,0.17017,0.38276,False
25,KCNH2,28,0.45,0.43813,0.13169,0.44789,0.38204,True
26,SF3B1,28,0.45,0.6041,0.03887,0.35739,0.38159,True
27,LRP1,27,0.43333,0.61471,0.16974,0.27432,0.37937,True
28,HSD17B12,25,0.4,0.69708,0.05344,0.28428,0.37931,True
29,SEC13,26,0.41667,0.61037,0.02485,0.36345,0.37779,True
30,AP2M1,29,0.46667,0.53344,0.04965,0.39206,0.37718,True
31,GSK3B,29,0.46667,0.61888,0.10182,0.28754,0.37667,True
32,STAG1,25,0.4,0.87452,0.13212,0.07826,0.37617,False
33,MTOR,27,0.43333,0.65184,0.08354,0.27846,0.37472,True
34,CLTC,28,0.45,0.55505,0.0965,0.34467,0.37395,True
35,SHMT1,27,0.43333,0.70228,0.05467,0.24735,0.37319,True
36,JAK2,43,0.7,0.54979,0.1697,0.19604,0.37249,False
37,VPS28,26,0.41667,0.73698,0.02333,0.23954,0.3721,True
38,KCNA2,26,0.41667,0.40584,0.03647,0.51524,0.37188,True
39,WDHD1,25,0.4,0.69878,0.05228,0.26223,0.37187,True
40,TRAPPC5,25,0.4,0.69184,0.07796,0.25003,0.37065,True
41,KEAP1,27,0.43333,0.65363,0.09571,0.25341,0.36893,True
42,PIKFYVE,25,0.4,0.45051,0.02956,0.47896,0.3687,True
43,LAMTOR3,25,0.4,0.6795,0.04968,0.27027,0.36838,True
44,PSAP,24,0.38333,0.60889,0.15399,0.27676,0.36783,True
45,AP2S1,29,0.46667,0.52521,0.01107,0.38747,0.36539,True
46,AURKA,25,0.4,0.58311,0.09141,0.31885,0.36481,True
47,GGPS1,25,0.4,0.63761,0.05712,0.29155,0.36475,True
48,TOP2A,25,0.4,0.58539,0.05751,0.33548,0.36454,True
49,FTO,25,0.4,0.8288,0.08482,0.10962,0.36397,False
50,MAPK14,33,0.53333,0.66583,0.1151,0.17235,0.36309,False
51,MCM10,25,0.4,0.66974,0.03732,0.27003,0.3629,True
52,CDK1,29,0.46667,0.53073,0.03693,0.35897,0.36224,True
53,ING3,25,0.4,0.62709,0.02642,0.30851,0.36139,True
54,KCNAB1,24,0.38333,0.33183,0.01704,0.57304,0.36102,False
55,PIK3CB,33,0.53333,0.52781,0.1262,0.27558,0.36004,True
56,PHGDH,25,0.4,0.57657,0.20714,0.24118,0.35881,True
57,IL6,49,0.8,0.54163,0.09994,0.15907,0.35815,False
