rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1,TP53,52,0.85,0.95195,1.0,0.58504,0.81785,False
2,TNF,61,1.0,0.74003,0.17933,1.0,0.75788,True
3,STAT3,54,0.88333,0.69502,0.37192,0.69823,0.65977,False
4,IL6,49,0.8,0.54163,0.09994,0.85136,0.60045,True
5,IL10,48,0.78333,0.49716,0.05778,0.8296,0.56856,True
6,JAK2,43,0.7,0.54979,0.1697,0.72263,0.5568,True
7,IL1B,42,0.68333,0.52623,0.1107,0.73919,0.54123,True
8,ALDH1A1,25,0.4,0.90168,0.0374,0.46184,0.49963,True
9,STAG1,25,0.4,0.87452,0.13212,0.41748,0.4949,True
10,CTH,26,0.41667,0.82828,0.0705,0.47512,0.49137,True
11,MYC,33,0.53333,0.60763,0.30457,0.45874,0.48376,True
12,REV3L,25,0.4,0.8878,0.03605,0.42417,0.48201,True
13,AIRE,25,0.4,0.73195,0.07837,0.52593,0.47933,True
14,RUNX1,32,0.51667,0.53757,0.05289,0.65197,0.47754,True
15,FTO,25,0.4,0.8288,0.08482,0.43348,0.47732,True
16,MAPK14,33,0.53333,0.66583,0.1151,0.49054,0.47446,True
17,IFNG,42,0.68333,0.46358,0.14578,0.57123,0.47066,False
18,JAK1,39,0.63333,0.43918,0.01118,0.68469,0.46863,True
19,FOS,34,0.55,0.55182,0.15734,0.54022,0.46859,True
20,PTPRC,36,0.58333,0.54121,0.17124,0.50362,0.46038,True
21,ACTA2,25,0.4,0.76409,0.0843,0.43778,0.45931,True
22,SMAD3,33,0.53333,0.62919,0.05401,0.51081,0.45834,True
23,TLR4,34,0.55,0.53701,0.05204,0.58006,0.45703,True
24,NPAS2,25,0.4,0.74023,0.07163,0.42897,0.44653,True
25,PFKFB3,25,0.4,0.77474,0.08723,0.3904,0.44651,True
26,RAD51B,25,0.4,0.71381,0.03313,0.4726,0.44618,True
27,SYT1,26,0.41667,0.7304,0.04283,0.44407,0.44561,True
28,HLA-DRB1,26,0.41667,0.59566,0.04965,0.55511,0.44542,True
29,TNFAIP3,30,0.48333,0.41894,0.02742,0.68322,0.44279,True
30,ELANE,27,0.43333,0.66356,0.09618,0.45448,0.44237,True
31,TNFRSF1A,35,0.56667,0.44785,0.03649,0.6102,0.44022,True
32,PTGS2,28,0.45,0.50647,0.22434,0.50042,0.43945,True
33,PARK7,26,0.41667,0.5991,0.14888,0.46505,0.43477,True
34,SYK,32,0.51667,0.49078,0.03189,0.5747,0.43226,True
35,RBPJ,27,0.43333,0.62753,0.06125,0.46298,0.42755,True
36,FAU,38,0.61667,0.66933,0.28551,0.21995,0.42738,False
37,ADGRL2,25,0.4,0.55694,0.12941,0.49492,0.42619,True
38,TYK2,35,0.56667,0.38701,0.02432,0.62873,0.42602,True
39,DPP4,25,0.4,0.61587,0.10011,0.45783,0.42502,True
40,LEF1,29,0.46667,0.5557,0.04329,0.51326,0.42501,True
41,ENO4,25,0.4,0.75072,0.03716,0.37625,0.42434,True
42,OTUD3,25,0.4,0.56512,0.29602,0.38742,0.42434,True
43,ATXN2,26,0.41667,0.67873,0.10804,0.38971,0.42413,True
44,TRMT10B,24,0.38333,1.0,0.11484,0.11874,0.42203,False
45,DLGAP1,25,0.4,0.58283,0.09708,0.47209,0.4195,True
46,IKZF1,25,0.4,0.50303,0.05351,0.56437,0.41914,True
47,CCL2,32,0.51667,0.43156,0.05185,0.56717,0.41585,True
48,NOD2,28,0.45,0.45207,0.10556,0.54654,0.41552,True
49,GUCY1A2,25,0.4,0.58034,0.04856,0.48994,0.41529,True
50,IL13,34,0.55,0.35934,0.05324,0.61226,0.41524,True
51,ITPR3,29,0.46667,0.51904,0.13568,0.46283,0.41484,True
52,ATG16L1,25,0.4,0.57844,0.0981,0.46176,0.41477,True
53,CD40,34,0.55,0.40611,0.03014,0.58057,0.41356,True
54,PTGS1,27,0.43333,0.54992,0.06011,0.4854,0.41189,True
55,NFKB1,31,0.5,0.43062,0.03684,0.55571,0.40605,True
56,CD226,25,0.4,0.51,0.09433,0.4956,0.40533,True
57,CIITA,25,0.4,0.52831,0.14061,0.45146,0.40463,True
