rank,protein,degree,degree_norm,pagerank_norm,betweenness_norm,rwr_norm,composite_score,is_seed_gene
1,TP53,52,0.85,0.95195,1.0,0.40951,0.75641,False
2,TNF,61,1.0,0.74003,0.17933,0.64018,0.63194,False
3,STAT3,54,0.88333,0.69502,0.37192,0.60216,0.62615,False
4,TRMT10B,24,0.38333,1.0,0.11484,0.47809,0.5478,True
5,JAK2,43,0.7,0.54979,0.1697,0.65621,0.53355,True
6,RAB7A,25,0.4,0.96994,0.10006,0.42503,0.51975,False
7,SLC39A11,19,0.3,0.85764,0.0323,0.5989,0.51836,True
8,IL10,48,0.78333,0.49716,0.05778,0.65009,0.50574,True
9,PRDX6,25,0.4,0.88805,0.06555,0.45706,0.49949,True
10,PTPRC,36,0.58333,0.54121,0.17124,0.59839,0.49355,True
11,PLXNA2,25,0.4,0.68887,0.10305,0.55812,0.48261,True
12,F10,25,0.4,0.73081,0.07735,0.51123,0.47365,True
13,DNMT3A,26,0.41667,0.60503,0.05392,0.61797,0.47108,True
14,IL6,49,0.8,0.54163,0.09994,0.47554,0.46891,False
15,FAU,38,0.61667,0.66933,0.28551,0.33764,0.46857,False
16,INTS4,25,0.4,0.82192,0.03365,0.4311,0.46419,True
17,CHCHD6,22,0.35,0.781,0.09051,0.44105,0.45927,True
18,JAK1,39,0.63333,0.43918,0.01118,0.63602,0.4516,True
19,GLS,25,0.4,0.73623,0.06591,0.43526,0.44639,True
20,CD44,30,0.48333,0.5955,0.13217,0.48202,0.44629,True
21,FAAH,25,0.4,0.71736,0.10634,0.42745,0.44608,True
22,AFF1,26,0.41667,0.64594,0.04988,0.51161,0.44532,True
23,HSPA8,26,0.41667,0.67157,0.17361,0.41643,0.44444,True
24,RAD51B,25,0.4,0.71381,0.03313,0.46226,0.44256,True
25,IFNG,42,0.68333,0.46358,0.14578,0.49001,0.44223,False
26,STAG1,25,0.4,0.87452,0.13212,0.26646,0.44204,False
27,GTF2I,25,0.4,0.62388,0.14774,0.46983,0.44115,True
28,SMAD3,33,0.53333,0.62919,0.05401,0.45904,0.44022,True
29,IKZF1,25,0.4,0.50303,0.05351,0.62309,0.4397,True
30,NADSYN1,27,0.43333,0.59937,0.10045,0.48416,0.43436,True
31,GPD2,28,0.45,0.60635,0.09596,0.46463,0.43122,True
32,ATXN1,26,0.41667,0.61566,0.11411,0.45509,0.4293,True
33,UBE2L3,25,0.4,0.6324,0.07223,0.46459,0.42677,True
34,ADGRL2,25,0.4,0.55694,0.12941,0.4925,0.42534,True
35,AGPAT4,26,0.41667,0.59434,0.06387,0.48505,0.42334,True
36,CD19,36,0.58333,0.5025,0.06088,0.48689,0.42084,False
37,COL4A2,27,0.43333,0.6161,0.04999,0.45987,0.42078,True
38,RMI2,25,0.4,0.65985,0.09035,0.41054,0.41971,True
39,IFIH1,29,0.46667,0.50012,0.03512,0.54973,0.41947,True
40,NMNAT2,26,0.41667,0.57996,0.07061,0.4824,0.41945,True
41,MYC,33,0.53333,0.60763,0.30457,0.27291,0.41872,False
42,IL1B,42,0.68333,0.52623,0.1107,0.38271,0.41646,False
43,ATRIP,25,0.4,0.66922,0.09109,0.39102,0.41584,True
44,TERT,27,0.43333,0.61416,0.14837,0.39078,0.41569,True
45,IMPDH2,26,0.41667,0.57977,0.04997,0.47958,0.41428,True
46,ATG16L1,25,0.4,0.57844,0.0981,0.45956,0.414,True
47,PDHB,25,0.4,0.74797,0.02237,0.35194,0.41204,True
48,IFNAR1,30,0.48333,0.47194,0.06188,0.52691,0.41088,True
49,MS4A1,28,0.45,0.44363,0.03169,0.57445,0.40799,True
50,CD47,25,0.4,0.59159,0.07502,0.44246,0.40734,True
51,AHI1,25,0.4,0.93117,0.15535,0.10546,0.40733,False
52,TYK2,35,0.56667,0.38701,0.02432,0.57403,0.40688,True
53,CD40,34,0.55,0.40611,0.03014,0.5614,0.40685,True
54,TRAF3,34,0.55,0.43847,0.01259,0.54272,0.40651,True
55,MED13,25,0.4,0.68848,0.01299,0.38895,0.40528,True
56,PPAT,25,0.4,0.60906,0.06718,0.42396,0.40454,True
57,MED1,30,0.48333,0.75143,0.08792,0.25374,0.40432,False
58,PRKN,27,0.43333,0.61348,0.08063,0.39706,0.40414,True
59,FUT2,25,0.4,0.58134,0.0862,0.42539,0.40053,True
60,PTGS2,28,0.45,0.50647,0.22434,0.38915,0.40051,True
61,C4A,26,0.41667,0.44086,0.03015,0.56946,0.4001,True
62,PLD4,25,0.4,0.59944,0.05643,0.42506,0.39989,True
63,CFH,26,0.41667,0.47987,0.02163,0.5375,0.39891,True
64,ENG,25,0.4,0.54347,0.1144,0.43692,0.39884,True
65,LEF1,29,0.46667,0.5557,0.04329,0.43193,0.39654,True
66,ATG5,26,0.41667,0.54485,0.03767,0.46492,0.39621,True
67,ITGAM,29,0.46667,0.45576,0.09057,0.48914,0.39604,True
68,NCF2,25,0.4,0.52967,0.11613,0.43872,0.39568,True
69,IMPDH1,25,0.4,0.55422,0.02667,0.46564,0.39457,True
70,HMGCR,26,0.41667,0.68013,0.06638,0.31812,0.39116,True
71,SRC,31,0.5,0.46227,0.40998,0.27221,0.39095,False
72,CDK12,25,0.4,0.55364,0.19731,0.35489,0.38977,False
73,PRKCB,28,0.45,0.46996,0.15768,0.42709,0.38951,True
74,LZTFL1,13,0.2,0.58756,0.02153,0.51089,0.38938,True
75,ARHGEF7,25,0.4,0.57983,0.02929,0.42591,0.38888,True
76,DGKQ,25,0.4,0.48626,0.14344,0.43578,0.38709,True
77,CEP120,18,0.28333,0.65703,0.02533,0.40668,0.38701,True
78,SMPD1,26,0.41667,0.91275,0.10623,0.08104,0.38593,False
79,XPO1,29,0.46667,0.60993,0.34004,0.18436,0.38551,False
80,PRPS2,21,0.33333,0.61126,0.03059,0.41225,0.38378,True
81,KIF1A,25,0.4,0.92883,0.14765,0.04429,0.38368,False
82,C4B,25,0.4,0.40701,0.01436,0.56693,0.3834,True
83,CTLA4,30,0.48333,0.40535,0.03548,0.51505,0.38147,True
84,RUNX1,32,0.51667,0.53757,0.05289,0.37601,0.38095,False
85,DHFR,26,0.41667,0.63253,0.05263,0.33736,0.38086,True
86,MAPK14,33,0.53333,0.66583,0.1151,0.21422,0.37774,False
87,PTGS1,27,0.43333,0.54992,0.06011,0.38465,0.37662,True
88,FOS,34,0.55,0.55182,0.15734,0.27724,0.37655,False
89,ROR2,17,0.26667,0.5798,0.02698,0.44805,0.37615,True
90,OAS1,25,0.4,0.46063,0.01066,0.502,0.37602,True
91,ATXN2,26,0.41667,0.67873,0.10804,0.25105,0.37559,False
92,C1QB,25,0.4,0.41073,0.0553,0.51508,0.37456,True
93,USP18,25,0.4,0.44413,0.0384,0.49603,0.37453,True
94,ESR1,28,0.45,0.45772,0.09548,0.42963,0.37428,True
95,LRRC18,1,0.0,0.07846,0.0,1.0,0.37354,True
96,WDFY4,1,0.0,0.07846,0.0,1.0,0.37354,True
97,TCF7,26,0.41667,0.50608,0.06513,0.41521,0.37267,True
98,TLR4,34,0.55,0.53701,0.05204,0.33651,0.37179,False
99,B4GALT2,25,0.4,0.62952,0.1505,0.26322,0.37108,False
100,TNFAIP3,30,0.48333,0.41894,0.02742,0.47776,0.37089,True
101,IL2RA,32,0.51667,0.33394,0.03612,0.52783,0.36965,True
102,C1S,25,0.4,0.38935,0.04238,0.52593,0.36936,True
103,C1QA,25,0.4,0.41232,0.01251,0.52119,0.36862,True
104,PAPPA,14,0.21667,0.4496,0.02731,0.55605,0.36746,True
